service_id,date,exception_type
"MF10-17-270-aus","20251003","2"
"MF10-17-270-aus","20251010","2"
"MF10-17-279-aus","20250725","2"
"MF10-17-279-aus","20250801","2"
"MF10-17-279-aus","20250808","2"
"MF10-17-279-aus","20250815","2"
"MF10-17-279-aus","20250822","2"
"MF10-17-279-aus","20250829","2"
"MF10-17-279-aus","20250905","2"
"MF10-17-279-aus","20250912","2"
"MF10-17-279-aus","20250919","2"
"MF10-17-279-aus","20250926","2"
"MF10-17-279-aus","20251003","2"
"MF10-17-279-aus","20251010","2"
"MF10-17-284-aus","20250725","2"
"MF10-17-284-aus","20250801","2"
"MF10-17-284-aus","20250808","2"
"MF10-17-284-aus","20250815","2"
"MF10-17-284-aus","20250822","2"
"MF10-17-284-aus","20250829","2"
"MF10-17-284-aus","20250905","2"
"MF10-17-284-aus","20250912","2"
"MF10-17-284-aus","20250919","2"
"MF10-17-284-aus","20250926","2"
"MF10-17-284-aus","20251003","2"
"MF10-17-284-aus","20251010","2"
"MF10-17-285-aus","20250725","2"
"MF10-17-285-aus","20250801","2"
"MF10-17-285-aus","20250808","2"
"MF10-17-285-aus","20250815","2"
"MF10-17-285-aus","20250822","2"
"MF10-17-285-aus","20250829","2"
"MF10-17-285-aus","20250905","2"
"MF10-17-285-aus","20250912","2"
"MF10-17-285-aus","20250919","2"
"MF10-17-285-aus","20250926","2"
"MF10-17-285-aus","20251003","2"
"MF10-17-285-aus","20251010","2"
"MF10-17-293-aus","20250725","2"
"MF10-17-293-aus","20250801","2"
"MF10-17-293-aus","20250808","2"
"MF10-17-293-aus","20250815","2"
"MF10-17-293-aus","20250822","2"
"MF10-17-293-aus","20250829","2"
"MF10-17-293-aus","20250905","2"
"MF10-17-293-aus","20250912","2"
"MF10-17-293-aus","20250919","2"
"MF10-17-293-aus","20250926","2"
"MF10-17-293-aus","20251003","2"
"MF10-17-293-aus","20251010","2"
"MF10-17-302-aus","20250725","2"
"MF10-17-302-aus","20250801","2"
"MF10-17-302-aus","20250808","2"
"MF10-17-302-aus","20250815","2"
"MF10-17-302-aus","20250822","2"
"MF10-17-302-aus","20250829","2"
"MF10-17-302-aus","20250905","2"
"MF10-17-302-aus","20250912","2"
"MF10-17-302-aus","20250919","2"
"MF10-17-302-aus","20250926","2"
"MF10-17-302-aus","20251003","2"
"MF10-17-302-aus","20251010","2"
"MF10-17-304-aus","20250725","2"
"MF10-17-304-aus","20250801","2"
"MF10-17-304-aus","20250808","2"
"MF10-17-304-aus","20250815","2"
"MF10-17-304-aus","20250822","2"
"MF10-17-304-aus","20250829","2"
"MF10-17-304-aus","20250905","2"
"MF10-17-304-aus","20250912","2"
"MF10-17-304-aus","20250919","2"
"MF10-17-304-aus","20250926","2"
"MF10-17-304-aus","20251003","2"
"MF10-17-304-aus","20251010","2"
"MF10-17-305-aus","20250725","2"
"MF10-17-305-aus","20250801","2"
"MF10-17-305-aus","20250808","2"
"MF10-17-305-aus","20250815","2"
"MF10-17-305-aus","20250822","2"
"MF10-17-305-aus","20250829","2"
"MF10-17-305-aus","20250905","2"
"MF10-17-305-aus","20250912","2"
"MF10-17-305-aus","20250919","2"
"MF10-17-305-aus","20250926","2"
"MF10-17-305-aus","20251003","2"
"MF10-17-305-aus","20251010","2"
"MF10-17-309-aus","20250725","2"
"MF10-17-309-aus","20250801","2"
"MF10-17-309-aus","20250808","2"
"MF10-17-309-aus","20250815","2"
"MF10-17-309-aus","20250822","2"
"MF10-17-309-aus","20250829","2"
"MF10-17-309-aus","20250905","2"
"MF10-17-309-aus","20250912","2"
"MF10-17-309-aus","20250919","2"
